Company,Industry Sector,Current Ratio,Quick Ratio,Cash Ratio,Free Cash Flow Margin,Revenue Growth Year over Year,Common Equity to Tot Assets,Long Term Assets as % Total Assets,EBIT/Interest,Total Debt to Total Assets,Tot Debt to Common Equity,Cashflow to Total Liabilities,Free Cash Flow to Total Debt,Gross Margin,Operating Margin,Profit Margin,Net Income Margin Adjusted,Return on Assets,Return on Common Equity,Inventory Turnover,Accounts Receivable Turnover,Accounts Payable Turnover,Net Fixed Asset Turnover,Gross Fixed Asset Turnover,Asset Turnover,Sales per Employee,Operating Profit Per Employee,Cash Conversion Cycle
CCOI UW Equity,Communications,4.831877429,4.399330813,3.931482481,14.85082811,4.017877578,-29.30262265,54.3880569,1.711135294,121.7466269,#N/A N/A,10.84688743,0.084587869,61.4230166,18.82088283,1.094167783,1.19276082,0.643278152,#N/A N/A,#N/A N/A,13.41950419,21.02206235,1.168477668,0.371825805,0.587920631,524564.1736,98655.58633,#N/A N/A
AA UN Equity,Basic Materials,1.637088012,0.75262586,0.582035494,0.441524876,-10.99396147,22.28129206,69.58277254,2.109677419,17.54374159,78.73754153,4.002438033,0.015343306,14.18264053,3.52143011,-1.830712901,-2.239931079,-1.152894103,-4.580358346,5.239316239,18.26155359,5.350190509,1.217038008,0.438111863,0.62975145,719844.9612,25348.83721,21.48977114
OSTK UQ Equity,Communications,1.778918802,1.674050082,1.582088094,6.955180107,74.71231683,45.01152715,29.80845902,26.49720954,8.22306056,18.2687882,49.88067674,2.715859321,22.72871848,2.048252734,2.196304548,2.721869665,8.974943527,22.91479123,326.1193412,87.97815886,21.28537251,16.8589054,6.823193339,4.086383892,1457018.857,29843.42857,-11.912495
BTU UN Equity,Energy,1.796483683,1.125853782,0.897040223,-6.979972927,-37.68438811,19.91815046,69.56782584,-11.93276109,34.59107369,173.6660929,-0.263172174,-0.102824579,-1.232168269,-57.90149596,-64.91617785,-21.9976745,-33.36871872,-105.5652763,9.835103692,12.41853448,#N/A N/A,0.732871224,0.543932185,0.514027779,626326.087,-362652.1739,#N/A N/A
TTGT UQ Equity,Communications,2.752445172,2.647313542,1.781636434,30.862808,10.76390185,44.35396261,72.01665469,#N/A N/A,40.39617319,91.0768076,20.64574789,0.248286669,74.83150914,15.38051976,11.50320807,13.81921557,5.033206719,9.60284929,#N/A N/A,4.410403507,11.78261555,3.782811544,2.203678813,0.437576676,157846.8085,24276.59574,#N/A N/A
IRWD UW Equity,"Consumer, Non-cyclical",15.41164952,15.07211015,11.26920088,42.87140939,-9.077689052,11.20095559,11.33667598,4.849039962,81.12860714,724.3007663,33.99852597,0.370595677,99.19491275,36.69616428,27.25795396,24.88248447,22.07433372,#N/A N/A,9.679012346,5.829873531,1.072644967,13.99224096,10.04391212,0.809830912,1678978.448,616120.6897,-240.6187525
PLSE UR Equity,"Consumer, Non-cyclical",2.945154911,2.699406724,2.699406724,#N/A N/A,#N/A N/A,55.44281113,45.90124234,#N/A N/A,27.50102923,49.60251594,-192.2115332,-3.159299049,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-119.8226132,-185.9036751,#N/A N/A,#N/A N/A,0,0,0,0,0,-525947.3684,#N/A N/A
CPRX UR Equity,"Consumer, Non-cyclical",6.997801267,6.42748103,6.16437018,37.81171255,16.38849214,88.16957497,17.21303676,#N/A N/A,0.014957844,0.016964859,197.900756,1576.639476,85.6901353,34.68733074,62.97239849,62.97239849,49.21272052,58.30089886,5.157604392,14.41173504,4.71321258,210.0940575,#N/A N/A,0.781496683,1609091.932,558151.0405,18.70510854
VRS UN Equity,Basic Materials,2.693641618,1.271676301,0.791907514,-8.094186902,-44.39443535,54.93975904,62.57028112,-64,1.526104418,2.777777778,-11.0516934,-5.789473684,1.839587932,-9.418690213,-7.431935247,-7.664459161,-6.870748299,-12.08856972,4.310177706,11.42016807,8.679104478,1.713745271,1.107579462,0.924489796,799411.7647,-75294.11765,74.79360812
FLWS UW Equity,Communications,2.099627354,1.417851518,1.333684537,7.02949779,19.30238351,51.62137558,51.10887292,32.9630845,21.02281018,40.72500963,37.21150587,0.955610358,41.76829657,5.394871368,3.960562204,4.361666634,10.15699445,23.15640456,13.55798782,31.71564903,13.0524189,7.128711352,3.740883188,1.813793642,346427.2093,#N/A N/A,32.61966564
IIIN UN Equity,Industrial,3.670740341,2.282219904,1.279630389,10.39105578,3.709571594,78.36680458,41.68782665,212.7264151,0.7487378,0.955427242,76.91486888,12.79576339,11.80382465,4.771083624,4.022064331,4.209109683,8.629757853,10.85782403,6.566194182,11.6899408,13.32528266,4.744928009,2.011790424,1.60497208,536456.2997,#N/A N/A,73.61320795
ASMB UW Equity,"Consumer, Non-cyclical",9.18810625,8.907747718,8.857405967,-536.3716093,395.5522145,84.93366378,20.74498507,#N/A N/A,3.57594244,4.210276916,-126.0563803,-5.034716421,#N/A N/A,-81.88610075,-78.56899058,-78.56899058,-19.94733303,-24.19330667,#N/A N/A,34.36359687,#N/A N/A,6.448076296,5.583001955,0.253883025,138808.6957,#N/A N/A,#N/A N/A
EME UN Equity,Industrial,1.442719043,1.305899229,0.417369473,8.621026954,-4.11516085,40.53579892,38.36819489,28.50860251,10.57543287,26.08911914,26.78426464,1.416180071,15.86191115,2.919543243,1.511220622,4.175777342,2.687292088,6.469557414,157.8452401,4.450930188,11.08896662,21.93124501,11.82671701,1.778226189,266577.6061,7782.848485,51.54294861
GTYH UR Equity,Technology,1.129894602,1.047396998,0.728201852,-32.59225399,32.06377082,71.63999288,91.81934434,-24.29920364,7.307947564,10.20093284,-10.57875768,-0.429927539,61.62732713,-88.75914229,-91.45403923,-76.85715176,-10.15527664,-13.85365454,#N/A N/A,5.019084368,2.494158957,5.689897736,#N/A N/A,0.111042407,#N/A N/A,#N/A N/A,#N/A N/A
CORT UR Equity,"Consumer, Non-cyclical",10.07497789,9.830589127,9.278982608,42.59482189,15.46171766,91.53570473,16.30661972,#N/A N/A,0.446188855,0.487447883,314.0330213,59.80870247,98.4226024,36.228149,29.95727293,33.93863352,21.54600968,23.7023208,1.080317399,15.34379742,0.560278592,81.53778802,59.67017958,0.719224668,1499466.102,543228.8136,-290.6038387
PHAT UW Equity,"Consumer, Non-cyclical",5.247604639,5.17786903,5.17786903,#N/A N/A,#N/A N/A,65.82980641,1.268336321,#N/A N/A,16.61002131,25.23176388,-69.10749702,-1.442898527,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-46.73929772,-61.13692667,#N/A N/A,#N/A N/A,0,0,0,0,#N/A N/A,#N/A N/A,#N/A N/A
CABA UW Equity,"Consumer, Non-cyclical",21.91795367,20.97722008,20.97722008,#N/A N/A,#N/A N/A,95.48481573,1.036400404,#N/A N/A,0,0,-516.7953668,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-26.02657382,-26.90093398,#N/A N/A,#N/A N/A,0,0,0,0,0,-1025242.424,#N/A N/A
ARCH UN Equity,Energy,2.027397827,1.362052562,0.97987218,-15.31181691,-36.03457534,16.46244467,65.85488763,-22.87555432,30.54006103,185.5135227,4.246683777,-0.420316551,4.716978561,-22.49535293,-23.48166248,-13.62480308,-19.19738802,-74.58416162,10.84723595,10.52059901,11.726794,1.447249462,1.045543663,0.817548078,458622.5,-107705.625,37.31096409
